AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.29669184981684993 0.0360693332091637 0.0360693332091637 0.00035244360902255675 0.20853487500450113
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3082732371794871 0.03562697895325015 0.03562697895325015 7.832080200501253e-05 0.21550614779794608
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30806433150183166 0.036459303408455955 0.036459303408455955 8.434547908232118e-05 0.21775959571311762
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30836767399267395 0.0373440119202831 0.0373440119202831 7.53084634663582e-05 0.21798717173246238
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3082904075091574 0.03690165766436952 0.03690165766436952 8.735781762097552e-05 0.21806805220606562
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30739468864468866 0.03747788228720435 0.03747788228720435 0.00011446886446886454 0.2186975515150762
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30768944597069603 0.03775726392251815 0.03775726392251815 6.928378638904955e-05 0.2192130276298785
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30675080128205134 0.03772234121810394 0.03772234121810394 8.133314054366685e-05 0.21911816994894992
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30637877747252734 0.03773689234494319 0.03773689234494319 8.133314054366685e-05 0.2197501329439027
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30702552655677645 0.037646675358539786 0.037646675358539786 9.037015615962985e-05 0.21967988322069357
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3063759157509158 0.03805119668467127 0.03805119668467127 9.037015615962984e-05 0.21985512947315697
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.307320283882784 0.03823745110821381 0.03823745110821381 9.037015615962985e-05 0.21980049436563973
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30688530219780225 0.037768904823989584 0.037768904823989584 7.229612492770387e-05 0.21983949283322135
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3063129578754581 0.038365501024399305 0.038365501024399305 7.53084634663582e-05 0.22068762623674268
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30693681318681343 0.03847317936300985 0.03847317936300985 0.00010241951031424721 0.22011897753883194
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30687099358974357 0.03825200223505308 0.03825200223505308 8.133314054366685e-05 0.22043672171267834
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30676797161172153 0.03847899981374558 0.03847899981374558 9.338249469828419e-05 0.220682293176651
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.306527586996337 0.038193797727696016 0.038193797727696016 9.338249469828419e-05 0.22021676305231158
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067565247252748 0.03858376792698826 0.03858376792698826 0.00013856757277809918 0.22019730655701605
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3057291666666667 0.038179246600856774 0.038179246600856774 6.928378638904955e-05 0.22018256161239122
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3073260073260073 0.038484820264481266 0.038484820264481266 8.735781762097552e-05 0.22077124082780147
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30730597527472514 0.03801627398025702 0.03801627398025702 0.00010241951031424721 0.2207641574543911
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30592090201465216 0.038365501024399305 0.038365501024399305 9.037015615962985e-05 0.22041791407289085
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30568910256410253 0.03804246600856769 0.03804246600856769 0.00011145652593021019 0.2201868617436388
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3066563644688644 0.038394603278077866 0.038394603278077866 0.00011748120300751886 0.2209038114645979
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3057434752747253 0.03832766809461726 0.03832766809461726 8.133314054366685e-05 0.22093605315619771
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3059666895604393 0.03871472806854164 0.03871472806854164 6.928378638904955e-05 0.22028372002826943
