AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3155878995433788 0.04123519851404691 0.04123519851404691 7.209805335255947e-05 0.21158571774012422
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3107905251141552 0.03168098444392849 0.03168098444392849 4.506128334534967e-05 0.2092837581487551
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3088327625570776 0.03142848850708148 0.03142848850708148 3.9053112232636386e-05 0.20972078581378883
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3090125570776256 0.03207569073601113 0.03207569073601113 4.205719778899303e-05 0.21038399093771634
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3088584474885844 0.03265033666124913 0.03265033666124913 5.407354001441961e-05 0.2116143613237224
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3080736301369864 0.032789644764337135 0.032789644764337135 3.6049026676279736e-05 0.21185392590418253
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3072345890410955 0.03277223125145112 0.03277223125145112 8.411439557798606e-05 0.2113176935339627
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068807077625569 0.03351230554910609 0.03351230554910609 8.111031002162941e-05 0.21196096163906464
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30727739726027364 0.03374448572091943 0.03374448572091943 5.7077625570776254e-05 0.21270532085470958
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30725171232876713 0.03393313211051775 0.03393313211051775 4.506128334534967e-05 0.21313767057575592
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30726312785388127 0.03397086138843742 0.03397086138843742 7.209805335255947e-05 0.21388185542740235
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068036529680366 0.0346819131646157 0.0346819131646157 6.909396779620283e-05 0.2137147792806364
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3062813926940639 0.03461806361736708 0.03461806361736708 4.506128334534967e-05 0.21463872896481867
