AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30547659817351613 0.04068377060599024 0.04068377060599024 0.00011115116558519591 0.22331848238428978
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3064355022831049 0.04020780125377293 0.04020780125377293 0.00011715933669790921 0.22392188592316353
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.305884703196347 0.04042547016484789 0.04042547016484789 0.00013217976447969248 0.22337226194061646
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3060759132420089 0.040573485024378915 0.040573485024378915 0.00014720019226147565 0.22400842639681412
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3056992009132422 0.04043127466914323 0.04043127466914323 0.0001802451333813988 0.22365769703094274
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30641267123287674 0.04104945437659624 0.04104945437659624 9.91348233597693e-05 0.22449383462128575
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3061073059360731 0.04066635709310425 0.04066635709310425 0.00013217976447969245 0.224411288026261
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3059046803652966 0.04075342465753421 0.04075342465753421 0.00016822879115597228 0.22425433180920065
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3060102739726025 0.0404341769212909 0.0404341769212909 0.00013518385003604915 0.22402863927083472
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.307702625570776 0.04122939400975154 0.04122939400975154 0.00012617159336697918 0.22496986131962032
