AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.29428938356164375 0.03316693754353377 0.03316693754353377 0.0001742369622686856 0.20437718168513416
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3076255707762557 0.03473415370327377 0.03473415370327377 8.411439557798606e-05 0.21394826381990353
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3081563926940639 0.03628105409798001 0.03628105409798001 9.012256669069933e-05 0.21636908229899732
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30875285388127865 0.036220106802879 0.036220106802879 9.613073780341267e-05 0.2165308121132524
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30719178082191767 0.036826677501741324 0.036826677501741324 9.913482335976932e-05 0.21731025298980816
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3079309360730593 0.036829579753888994 0.036829579753888994 8.111031002162941e-05 0.21789213169927465
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30749143835616427 0.037395518922683973 0.037395518922683973 7.810622446527277e-05 0.21757041158741466
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3077654109589044 0.03747387973067102 0.03747387973067102 0.00011715933669790925 0.21838351720816468
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30781678082191766 0.037067564429997694 0.037067564429997694 7.510213890891612e-05 0.21814175978915332
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.307023401826484 0.037273624332481985 0.037273624332481985 0.00010814708002883927 0.21876092426580926
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30734874429223735 0.03739842117483165 0.03739842117483165 7.510213890891612e-05 0.21870302513037643
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067751141552512 0.03736069189691199 0.03736069189691199 7.510213890891612e-05 0.21912130758370438
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3061244292237444 0.03747097747852332 0.03747097747852332 9.613073780341267e-05 0.21899500383089668
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3066923515981734 0.03835035987926626 0.03835035987926626 0.00010213890891612599 0.21893949467841892
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30621289954337894 0.037714766658927326 0.037714766658927326 6.308579668348955e-05 0.21968015950836547
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30586472602739756 0.03818783375899694 0.03818783375899694 6.909396779620283e-05 0.22034089753072555
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30634988584474854 0.038245878801950316 0.038245878801950316 9.913482335976932e-05 0.2206596937898087
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3058504566210045 0.03863478058973762 0.03863478058973762 0.00011115116558519587 0.2206695656253867
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30596175799086744 0.038399698165776625 0.038399698165776625 8.111031002162941e-05 0.22041310251575627
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067722602739727 0.038579637798931955 0.038579637798931955 9.012256669069936e-05 0.2207651481644748
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30553082191780834 0.037955653587183634 0.037955653587183634 9.613073780341267e-05 0.2206850967995108
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068464611872145 0.03835616438356162 0.03835616438356162 8.411439557798606e-05 0.2210225129372453
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30545662100456605 0.038350359879266306 0.038350359879266306 9.312665224705602e-05 0.22094874210553628
