AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3192965888278386 0.03764376513317193 0.03764376513317193 0.00010844418739155584 0.209447073330591
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31560210622710627 0.031980466567330966 0.031980466567330966 3.3135723925197607e-05 0.208237978046412
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3137677426739924 0.031843685975041926 0.031843685975041926 1.2049354154617312e-05 0.20912970921822957
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3129492902930404 0.03178548146768485 0.03178548146768485 2.4098708309234624e-05 0.2097794491347376
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31185038919413915 0.03203867107468803 0.03203867107468803 2.7111046847888953e-05 0.21035804583148643
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3117588141025643 0.03267601043024771 0.03267601043024771 4.819741661846925e-05 0.2112681548019032
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3099215888278387 0.03251885826038369 0.03251885826038369 4.217273954116059e-05 0.21071059117605398
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3101133241758242 0.03225693797727697 0.03225693797727697 2.7111046847888953e-05 0.21196091797325636
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30816449175824173 0.033386105420003725 0.033386105420003725 2.7111046847888953e-05 0.21222526612845097
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3083447802197803 0.03296412274166509 0.03296412274166509 3.3135723925197607e-05 0.21281110691827732
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30858230311355317 0.03335409294095735 0.03335409294095735 3.9160401002506263e-05 0.21311042670692718
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30904017857142846 0.033668397280685415 0.033668397280685415 6.325910931174089e-05 0.21353801659175328
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3080958104395605 0.033624743900167633 0.033624743900167633 5.120975515712358e-05 0.2142424226462186
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3069225045787546 0.033869202831067244 0.033869202831067244 4.518507807981492e-05 0.2139631680079869
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3074662316849817 0.03375279381635314 0.03375279381635314 4.518507807981492e-05 0.2139443432564264
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3075492216117215 0.03409037995902401 0.03409037995902401 6.928378638904955e-05 0.21457410865760113
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067107371794872 0.03437267181970572 0.03437267181970572 5.4222093695777906e-05 0.21430198447062418
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3071543040293041 0.034413414974855644 0.034413414974855644 3.9160401002506263e-05 0.21467051540429777
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3064846611721613 0.03443378655243062 0.03443378655243062 3.6148062463851935e-05 0.21509117182794507
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067250457875459 0.0344483376792699 0.0344483376792699 4.217273954116059e-05 0.21482114166348845
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30593807234432224 0.03464623300428385 0.03464623300428385 5.4222093695777906e-05 0.21523261618810696
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3058493589743589 0.03488487148444774 0.03488487148444774 6.0246770773086556e-05 0.2160177971799295
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30513392857142857 0.035091497485565296 0.035091497485565296 6.0246770773086556e-05 0.2156922452888646
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3055918040293039 0.034826666977090706 0.034826666977090706 5.7234432234432234e-05 0.21619943185494497
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30498511904761894 0.034643322778916005 0.034643322778916005 6.627144785039521e-05 0.2166064732841083
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3041151556776556 0.03506239523188678 0.03506239523188678 3.9160401002506263e-05 0.2164800287439273
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3054544413919414 0.03464332277891601 0.03464332277891601 6.325910931174089e-05 0.21621871281128663
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30554029304029307 0.035408712050661206 0.035408712050661206 6.0246770773086556e-05 0.2172993608228453
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30616987179487176 0.035440724529707576 0.035440724529707576 6.627144785039521e-05 0.21719237662606186
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30540579212454216 0.03567645278450362 0.03567645278450362 7.832080200501253e-05 0.21690937999513124
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30572630494505487 0.036162460420934975 0.036162460420934975 5.120975515712358e-05 0.2181347701903228
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3048534798534797 0.035906360588563974 0.035906360588563974 4.518507807981492e-05 0.21748024069673413
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3047447344322343 0.035592056248835886 0.035592056248835886 5.120975515712358e-05 0.2177512117630833
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30486778846153845 0.035813233376792715 0.035813233376792715 7.832080200501253e-05 0.2185164082508821
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3051682692307694 0.03615372974483141 0.03615372974483141 7.53084634663582e-05 0.21767493067206917
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3046274038461537 0.03609843546284225 0.03609843546284225 3.9160401002506263e-05 0.21837020714531888
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30512820512820504 0.035778310672378494 0.035778310672378494 8.133314054366685e-05 0.21797653500522887
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3044614239926739 0.036433111380145274 0.036433111380145274 6.928378638904955e-05 0.21871389620579207
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3052598443223442 0.036008218476438814 0.036008218476438814 7.832080200501253e-05 0.21814835161625684
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30447000915750905 0.03703552803129076 0.03703552803129076 7.229612492770387e-05 0.21800433606891842
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3047447344322343 0.03604896163158875 0.03604896163158875 8.434547908232118e-05 0.21874110457988885
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30399782509157525 0.03643020115477743 0.03643020115477743 6.928378638904955e-05 0.2183837178316745
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30519688644688636 0.03557168467126095 0.03557168467126095 4.518507807981492e-05 0.21884334906116948
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3050681089743592 0.03635744552058111 0.03635744552058111 7.832080200501253e-05 0.2189545709189478
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3048191391941392 0.03631670236543118 0.03631670236543118 7.229612492770387e-05 0.2191389682856235
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30477621336996336 0.03658153287390579 0.03658153287390579 6.627144785039521e-05 0.2191982159575263
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.305425824175824 0.03639818867573102 0.03639818867573102 6.0246770773086556e-05 0.2186779233289289
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30608115842490863 0.03706172005960143 0.03706172005960143 8.434547908232118e-05 0.21899752875605782
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3041294642857142 0.0367503259452412 0.0367503259452412 5.120975515712358e-05 0.2193752591099058
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3052712912087912 0.03700060532687652 0.03700060532687652 6.325910931174089e-05 0.21977484529162503
