AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3095152243589744 0.030761082138200776 0.030761082138200776 3.6148062463851935e-05 0.19516022568875616
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30988438644688643 0.030685416278636597 0.030685416278636597 3.9160401002506263e-05 0.1999391849551882
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31033367673992684 0.03041185509405847 0.03041185509405847 1.5061692693271639e-05 0.20335314611157218
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31031650641025643 0.03061848109517601 0.03061848109517601 5.4222093695777906e-05 0.2059188188759835
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30995592948717937 0.031701084932017114 0.031701084932017114 2.7111046847888953e-05 0.20760409714101435
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3101820054945055 0.03195718476438814 0.03195718476438814 3.3135723925197607e-05 0.21024533205634946
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3103766025641026 0.032929200037250875 0.032929200037250875 2.4098708309234624e-05 0.2114399219607259
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.310021749084249 0.03269056155708696 0.03269056155708696 3.3135723925197607e-05 0.2129529811196275
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30983001373626384 0.033124185136896994 0.033124185136896994 3.6148062463851935e-05 0.21370342914219742
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3097613324175823 0.033432669025889344 0.033432669025889344 5.4222093695777906e-05 0.214055271594079
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3101533882783883 0.034084559508288294 0.034084559508288294 5.4222093695777906e-05 0.2145853510924748
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3098843864468865 0.03427954460793442 0.03427954460793442 4.518507807981492e-05 0.2147832331094113
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3102449633699634 0.03462877165207672 0.03462877165207672 5.120975515712358e-05 0.21534258749458815
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.310227793040293 0.03472480908921585 0.03472480908921585 3.0123385386543278e-05 0.21557462182673778
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3094236492673992 0.03514970199292231 0.03514970199292231 2.7111046847888953e-05 0.21593400623117173
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3092719780219781 0.034596759173030345 0.034596759173030345 3.0123385386543278e-05 0.21629023650190332
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31019631410256404 0.034879051033712034 0.034879051033712034 3.9160401002506263e-05 0.2160520057429324
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30967834249084253 0.03510895883777239 0.03510895883777239 5.120975515712358e-05 0.2161791483452032
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3090430402930404 0.034995460048426116 0.034995460048426116 3.3135723925197607e-05 0.21638961054466582
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3093492445054945 0.034943075991804795 0.034943075991804795 4.819741661846925e-05 0.21703877815833458
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30959249084249074 0.03518462469733653 0.03518462469733653 4.217273954116059e-05 0.21629007439036946
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3105711996336996 0.03524573943006144 0.03524573943006144 3.0123385386543278e-05 0.21693212579894852
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30977850274725266 0.035685183460607166 0.035685183460607166 5.120975515712358e-05 0.21674921863026672
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3093692765567766 0.03551930061463958 0.03551930061463958 6.325910931174089e-05 0.2171027986230431
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31025354853479853 0.03553094151611099 0.03553094151611099 4.217273954116059e-05 0.21660756720946386
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30931490384615384 0.03549310858632891 0.03549310858632891 7.229612492770387e-05 0.21716875394622048
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3099559294871795 0.035367968895511234 0.035367968895511234 5.120975515712358e-05 0.21683911537076092
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3099273122710623 0.03571719593965354 0.03571719593965354 6.325910931174089e-05 0.21692062177500882
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31003891941391937 0.03561824827714656 0.03561824827714656 2.7111046847888953e-05 0.21656872364845905
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3085078983516485 0.03513224064071521 0.03513224064071521 6.627144785039521e-05 0.21682578489020632
