AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3047475961538461 0.0418257589867759 0.0418257589867759 0.0004066657027183345 0.21159278429471529
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3121365613553114 0.036418560253306 0.036418560253306 5.7234432234432234e-05 0.21541026185502063
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30971554487179503 0.0362584978580741 0.0362584978580741 0.00011145652593021015 0.2166545222421269
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30864812271062264 0.035725926615757096 0.035725926615757096 6.928378638904955e-05 0.21740991204649537
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30813301282051286 0.036287600111752624 0.036287600111752624 6.325910931174089e-05 0.2175313922075125
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30840201465201467 0.03662227602905567 0.03662227602905567 8.434547908232118e-05 0.2174746703643065
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3085851648351649 0.03663682715589492 0.03663682715589492 6.928378638904955e-05 0.21742319323859371
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3077581272893773 0.0364622136338238 0.0364622136338238 8.434547908232118e-05 0.21798356139397884
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30766082875457884 0.03668921121251628 0.03668921121251628 7.832080200501253e-05 0.21795499897920168
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30710851648351645 0.037073360961072804 0.037073360961072804 6.928378638904955e-05 0.21848068410878654
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30657051282051273 0.03683472248090891 0.03683472248090891 8.434547908232118e-05 0.2187340172765019
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3058293269230769 0.0371111938908549 0.0371111938908549 7.229612492770387e-05 0.21969894950206464
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3059953067765568 0.03709082231327992 0.03709082231327992 9.037015615962985e-05 0.21881842154722947
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067193223443224 0.03772234121810391 0.03772234121810391 8.735781762097552e-05 0.2195652254990169
