AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.2956902472527473 0.03945392531197615 0.03945392531197615 0.0006536774628879898 0.21005971664255793
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3084334935897435 0.03583360495436764 0.03583360495436764 6.928378638904955e-05 0.21675030477754362
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3081129807692308 0.03646221363382378 0.03646221363382378 0.00011748120300751882 0.21704747536025204
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30682806776556776 0.03599075712423167 0.03599075712423167 7.229612492770387e-05 0.21707825641055684
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3072201236263736 0.03640109890109887 0.03640109890109887 9.037015615962984e-05 0.21772133256052875
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30747767857142855 0.03645639318308809 0.03645639318308809 4.518507807981492e-05 0.21810506873733396
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30743189102564106 0.03747206183646859 0.03747206183646859 6.928378638904955e-05 0.21898883482912085
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3072029532967032 0.03775726392251813 0.03775726392251813 0.00011446886446886452 0.21927273126093896
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.306968292124542 0.03803955578319982 0.03803955578319982 0.00012049354154617315 0.219484785592163
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067508012820511 0.038409154404917094 0.038409154404917094 7.832080200501253e-05 0.2202256148333078
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30650469322344326 0.03780964797913948 0.03780964797913948 9.037015615962985e-05 0.2198314869796837
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30548878205128205 0.038036645557832 0.038036645557832 0.0001024195103142472 0.2209437751508021
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3052283653846153 0.03782419910597873 0.03782419910597873 6.0246770773086556e-05 0.22010415546841675
