AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3090544871794872 0.037137385919165565 0.037137385919165565 7.229612492770387e-05 0.21912739172086612
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30909168956043964 0.0371344756937977 0.0371344756937977 9.037015615962985e-05 0.2192395907509458
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30976419413919404 0.03709664276401562 0.03709664276401562 6.928378638904955e-05 0.21880119678738352
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3091489239926739 0.0372683460607189 0.0372683460607189 6.0246770773086556e-05 0.21893661280909738
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30950663919413923 0.037416767554479397 0.037416767554479397 8.133314054366685e-05 0.2190579586959147
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3090659340659342 0.03710246321475134 0.03710246321475134 7.229612492770387e-05 0.21855464364801133
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.307823946886447 0.03726543583535109 0.03726543583535109 5.4222093695777906e-05 0.2191397970194345
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30902873168498185 0.03713447569379769 0.03713447569379769 7.832080200501253e-05 0.2190894874242636
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30877976190476203 0.03773980257031101 0.03773980257031101 6.325910931174089e-05 0.21866611137494937
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3083018543956045 0.03705589960886569 0.03705589960886569 0.00010241951031424717 0.21939372017488376
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3088770604395605 0.03713156546842984 0.03713156546842984 5.4222093695777906e-05 0.22004938665982132
