AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30029189560439556 0.03772234121810394 0.03772234121810394 0.00041269037979564324 0.20997949501315316
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30940934065934056 0.0354087120506612 0.0354087120506612 0.00012049354154617321 0.21575794901166642
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30880551739926726 0.03545236543117899 0.03545236543117899 6.0246770773086556e-05 0.21696639421221975
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30810725732600736 0.036261408083442005 0.036261408083442005 6.325910931174089e-05 0.2167909629233591
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30749484890109885 0.03603441050474949 0.03603441050474949 6.0246770773086556e-05 0.21647659844749575
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3071800595238096 0.03664555783199851 0.03664555783199851 0.00010241951031424721 0.21740610340794364
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30807291666666653 0.03635162506984538 0.03635162506984538 6.928378638904955e-05 0.2176502252836804
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30706272893772896 0.03683472248090891 0.03683472248090891 7.229612492770387e-05 0.21800754022794766
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30655906593406584 0.0367619668467126 0.0367619668467126 6.325910931174089e-05 0.2185420538861673
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30771233974358964 0.03701515645371578 0.03701515645371578 9.037015615962985e-05 0.21857836998098498
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3070541437728936 0.03741967777984729 0.03741967777984729 7.53084634663582e-05 0.21893225315507953
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3074834020146521 0.03780091730303595 0.03780091730303595 8.133314054366685e-05 0.21944783693486516
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30653044871794854 0.037547727696032776 0.037547727696032776 6.325910931174089e-05 0.21957020518871453
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3069453983516483 0.037856211585025154 0.037856211585025154 8.735781762097552e-05 0.220377738904822
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30610977564102565 0.038676895138759534 0.038676895138759534 6.928378638904955e-05 0.22017286447705803
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3063902243589744 0.03843534643322779 0.03843534643322779 7.53084634663582e-05 0.2205938641186599
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30646749084249103 0.038505191842056224 0.038505191842056224 7.53084634663582e-05 0.22091988023820813
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30630437271062266 0.03851683274352767 0.03851683274352767 8.133314054366685e-05 0.22077686806301494
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30689674908424913 0.038589588377723985 0.038589588377723985 0.00010543184885290154 0.22088010854773468
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3054687500000001 0.038682715589495265 0.038682715589495265 8.133314054366685e-05 0.22064856456203774
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30699690934065926 0.038543024771838325 0.038543024771838325 9.63948332369385e-05 0.22102122074300115
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3060983287545786 0.0380919398398212 0.0380919398398212 8.133314054366685e-05 0.22137656545901035
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30619848901098895 0.03873509964611662 0.03873509964611662 9.639483323693854e-05 0.22088113238850793
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30564045329670303 0.03827237381262805 0.03827237381262805 9.940717177559287e-05 0.2209211202276932
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30642456501831505 0.03872345874464519 0.03872345874464519 0.00011748120300751878 0.22141490843924846
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3062385531135533 0.03890971316818773 0.03890971316818773 8.434547908232118e-05 0.2214137492599068
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30665922619047636 0.03882240640715216 0.03882240640715216 6.928378638904955e-05 0.22087214436832364
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30612980769230774 0.039372439001676286 0.039372439001676286 8.133314054366685e-05 0.22126893052360513
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3058493589743591 0.03872054851927735 0.03872054851927735 7.832080200501253e-05 0.22171990180408563
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30633298992673996 0.03870017694170238 0.03870017694170238 9.63948332369385e-05 0.22171694335046704
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3062986492673992 0.03898246880238404 0.03898246880238404 6.928378638904955e-05 0.22155507588452036
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.306670673076923 0.03930550381821568 0.03930550381821568 8.133314054366685e-05 0.22181622274629362
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30575492216117195 0.0395499627491153 0.0395499627491153 0.00010844418739155584 0.22198588057206228
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068194826007327 0.03892135406965917 0.03892135406965917 8.133314054366685e-05 0.22221071567836698
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30610977564102565 0.03952086049543677 0.03952086049543677 9.338249469828419e-05 0.22228202035466393
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3049708104395605 0.039031942633637545 0.039031942633637545 9.338249469828419e-05 0.22188471961807418
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30582360347985355 0.03938407990314771 0.03938407990314771 8.434547908232118e-05 0.22176849678322508
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3057062728937731 0.039584885453529534 0.039584885453529534 8.133314054366685e-05 0.22191691046560202
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3065762362637361 0.03954705252374745 0.03954705252374745 9.338249469828416e-05 0.22229638196282334
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30635302197802217 0.03950630936859752 0.03950630936859752 9.037015615962985e-05 0.22282634135130996
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067450778388277 0.03964308996088658 0.03964308996088658 6.928378638904955e-05 0.2225068523497372
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3056490384615385 0.039744947848761425 0.039744947848761425 6.0246770773086556e-05 0.2220604297715229
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30533711080586096 0.03943064350903334 0.03943064350903334 0.00011748120300751886 0.22242620972159144
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3070169413919415 0.039235658409387246 0.039235658409387246 9.940717177559283e-05 0.22211568843532395
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30677369505494506 0.03902030173216617 0.03902030173216617 6.0246770773086556e-05 0.22234504440656075
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3051110347985348 0.039168723225926606 0.039168723225926606 0.00011446886446886448 0.22263799067381973
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068395146520144 0.03973330694729002 0.03973330694729002 9.940717177559283e-05 0.22265987753213107
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30588942307692313 0.039651820636990125 0.039651820636990125 0.00011145652593021015 0.22339102503035094
