AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3146175799086756 0.045611794752728106 0.045611794752728106 0.0002042778178322521 0.21743775740878224
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31412956621004556 0.036350708149524 0.036350708149524 4.8065368901706317e-05 0.21641837060451508
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31123573059360726 0.03607789644764336 0.03607789644764336 5.106945445806296e-05 0.21633568789860974
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31156392694063917 0.03696888785697699 0.03696888785697699 9.012256669069936e-05 0.21722886905278246
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3113869863013699 0.03812688646389598 0.03812688646389598 6.909396779620283e-05 0.21850707759595897
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31016552511415546 0.03691084281402367 0.03691084281402367 6.909396779620283e-05 0.21808528569463181
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30996004566210056 0.03657418156489437 0.03657418156489437 7.510213890891612e-05 0.2173126949839396
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30896118721461185 0.03678024146737868 0.03678024146737868 8.411439557798606e-05 0.21688772243996188
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30890696347031943 0.03685860227536565 0.03685860227536565 9.613073780341267e-05 0.2174947347951262
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3093464611872145 0.03690503830972833 0.03690503830972833 9.012256669069936e-05 0.21792294085025787
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3080279680365299 0.03651323426979337 0.03651323426979337 0.0001141552511415526 0.21789059532831792
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3086101598173512 0.03718655676805195 0.03718655676805195 6.909396779620283e-05 0.21776629384249857
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30794520547945203 0.037322962618992324 0.037322962618992324 7.510213890891612e-05 0.21797216750987589
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3071461187214612 0.03767413512885997 0.03767413512885997 0.00013217976447969245 0.21843969511659178
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3075256849315067 0.037665428372417 0.037665428372417 6.909396779620283e-05 0.21820658959754527
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30720319634703197 0.03735198514046899 0.03735198514046899 7.209805335255947e-05 0.2185821380517254
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30765125570776264 0.03727652658462963 0.03727652658462963 9.913482335976932e-05 0.21865384011235955
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067009132420092 0.03798757836080797 0.03798757836080797 8.411439557798606e-05 0.21883713027385815
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30717465753424644 0.03774959368469932 0.03774959368469932 7.810622446527277e-05 0.2193074590539279
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3058647260273974 0.03815590898537263 0.03815590898537263 9.312665224705602e-05 0.2186823501978835
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3067922374429225 0.03781634548409561 0.03781634548409561 7.209805335255947e-05 0.22027851975943943
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3064212328767126 0.03832423960993729 0.03832423960993729 0.00010514299447248264 0.21996869163153923
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3058133561643834 0.037961458091478946 0.037961458091478946 9.613073780341263e-05 0.22005983011363303
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30617294520547944 0.03874506617134894 0.03874506617134894 0.0001051429944724826 0.2204267002540092
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3062756849315068 0.03829521708846061 0.03829521708846061 8.711848113434271e-05 0.22061802279459286
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30579908675799083 0.038208149524030656 0.038208149524030656 7.810622446527277e-05 0.22085575481800185
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3055051369863012 0.03787148827490128 0.03787148827490128 7.810622446527277e-05 0.2199367500739555
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30552796803653004 0.03840840492221961 0.03840840492221961 8.411439557798606e-05 0.22060318858656164
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30474600456621004 0.03863768284188526 0.03863768284188526 0.00010514299447248264 0.22179300507454022
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3055479452054794 0.03808335268168093 0.03808335268168093 8.711848113434271e-05 0.22090801923242334
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30557933789954334 0.03890178778732293 0.03890178778732293 6.909396779620283e-05 0.22122769290453767
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30533675799086757 0.03833004411423263 0.03833004411423263 8.711848113434271e-05 0.22182670104993532
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30517408675799074 0.038437427443696305 0.038437427443696305 0.00010814708002883925 0.22184679834810023
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30565353881278556 0.03861736707685165 0.03861736707685165 6.909396779620283e-05 0.2216979052922497
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30550799086758 0.038692825632690935 0.038692825632690935 0.00010814708002883925 0.22152798245214436
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3055793378995434 0.03879730671000697 0.03879730671000697 9.913482335976932e-05 0.22179828065715423
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30535388127853863 0.03892210355235661 0.03892210355235661 6.608988223984618e-05 0.2212649696902053
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30468036529680387 0.03862317158114695 0.03862317158114695 8.411439557798606e-05 0.22140436103082684
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30587043378995427 0.03918620849779425 0.03918620849779425 0.00013217976447969248 0.2218025799075218
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.305958904109589 0.03898305084745762 0.03898305084745762 9.012256669069936e-05 0.2216244108872871
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3050599315068495 0.03919201300208958 0.03919201300208958 9.012256669069936e-05 0.2219587800437457
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3048087899543379 0.03884954724866496 0.03884954724866496 6.608988223984618e-05 0.22189954515189342
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30535958904109595 0.039041095890410916 0.039041095890410916 6.608988223984618e-05 0.22150768788710032
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30643835616438325 0.03929649407940558 0.03929649407940558 0.00010213890891612599 0.22184366126583047
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3063384703196348 0.039728929649407926 0.039728929649407926 8.711848113434271e-05 0.2218779589623621
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3056050228310502 0.039160088228465284 0.039160088228465284 9.012256669069936e-05 0.22238674359778834
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30529680365296785 0.039232644532156934 0.039232644532156934 0.0001231675078106225 0.22267925592317972
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3049086757990868 0.039258764801485935 0.039258764801485935 7.810622446527277e-05 0.2224379341488015
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3053224885844747 0.03913687021128392 0.03913687021128392 8.711848113434271e-05 0.2223368232380854
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.305958904109589 0.03959542605061523 0.03959542605061523 8.111031002162941e-05 0.2222921220815345
