AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3146118721461186 0.04383851869050383 0.04383851869050383 0.00012316750781062255 0.21614825897020837
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3135958904109585 0.03599082888321338 0.03599082888321338 4.506128334534967e-05 0.21564566137856
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31117865296803654 0.035149175760390075 0.035149175760390075 6.308579668348955e-05 0.2147598056760553
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31124999999999997 0.03500116090085909 0.03500116090085909 7.510213890891612e-05 0.2147515457786926
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31044805936073094 0.03568028790341304 0.03568028790341304 7.810622446527277e-05 0.2153426570435093
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3094549086757993 0.03510564197817504 0.03510564197817504 6.308579668348955e-05 0.21579484294538628
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3087871004566212 0.0353117018806594 0.0353117018806594 8.411439557798606e-05 0.21537817896228947
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3081021689497718 0.03559902484327834 0.03559902484327834 5.7077625570776254e-05 0.21547404478674065
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3087956621004568 0.03579347573717204 0.03579347573717204 6.909396779620283e-05 0.21617394836798107
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30812499999999987 0.03606918969120036 0.03606918969120036 5.7077625570776254e-05 0.21641600217721232
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.307908105022831 0.03573833294636639 0.03573833294636639 0.00010514299447248264 0.21672565916629688
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.308076484018265 0.036446482470396994 0.036446482470396994 6.909396779620283e-05 0.2162167061681617
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30785958904109584 0.036156257255630334 0.036156257255630334 8.711848113434271e-05 0.21661929671895014
