AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.32016369047619037 0.039776960327807774 0.039776960327807774 0.00012953055716213619 0.21360125818422862
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3165722298534798 0.034241711678152334 0.034241711678152334 4.819741661846925e-05 0.2123284196624389
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3151900183150183 0.034113661761966854 0.034113661761966854 3.0123385386543278e-05 0.21335315663408447
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31377632783882786 0.03352288601229281 0.03352288601229281 4.217273954116059e-05 0.21286858069700199
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3121336996336996 0.03365384615384614 0.03365384615384614 4.217273954116059e-05 0.21311839800942076
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3121966575091576 0.03413112311417394 0.03413112311417394 6.0246770773086556e-05 0.21392002292386778
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31034226190476194 0.034247532128888036 0.034247532128888036 4.819741661846925e-05 0.2136412690301518
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31076865842490853 0.03488487148444774 0.03488487148444774 4.518507807981492e-05 0.2150615018966434
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3086595695970696 0.035056574781151054 0.035056574781151054 4.217273954116059e-05 0.21556697081733536
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3095381181318681 0.03471898863848018 0.03471898863848018 3.9160401002506263e-05 0.21569357010034415
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3091231684981687 0.03542617340286832 0.03542617340286832 5.7234432234432234e-05 0.21617649839474604
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3096611721611723 0.035269021233004266 0.035269021233004266 6.928378638904955e-05 0.21621152144539488
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3088598901098901 0.035557133544421686 0.035557133544421686 5.7234432234432234e-05 0.21645720663306478
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30820455586080586 0.03628177966101695 0.03628177966101695 4.217273954116059e-05 0.2166507083636064
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3085250686813185 0.035624068727882284 0.035624068727882284 5.7234432234432234e-05 0.2166183727619412
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30853079212454204 0.03565317098156081 0.03565317098156081 7.53084634663582e-05 0.2174189460801554
